WBC,2.50,0.30,,,0.11
RBC,4.90,0.15,,,0.04
HGB,5.1,0.4,,,0.2
HCT,14.9,1.5,,,0.4
MCV,81.8,5.5,,,1.3
MCH,30.1,1.7,,,0.5
MCHC,34.0,2.5,,,0.8
RDW,26.5,3.6,,,0.5
RDW-SD,16.5,5.0,,,0.4
PLT,70,15,,,4
MPV,9.3,1.1,,,0.6
%NRBC,5.0,1.2,,,1.0
#NRBC,0.1,0.0,,,1.0
%NEUT,59.0,10.0,,,1.6
%LYMPH,30.0,8.5,,,1.4
%MONO,6.0,4.0,,,1.3
%EO,3.0,2.5,,,0.3
%BASO,2.0,5.4,,,0.4
%UNCLASS,,,,,1.0
#NEUT,1.5,0.3,,,0.1
#LYMPH,0.8,0.3,,,0.0
#MONO,0.2,0.2,,,0.0
#EO,0.1,0.1,,,0.0
#BASO,0.1,0.1,,,0.0
#UNCLASS,,,,,1.0
%RET,9.29,2.50,,,0.51
#RET,0.23,0.07,,,0.08
HGBr,,,,,0.3
