%RET,Low,1.23,-1.1SDs
%RET,Low,1.99,+0.4SDs
%RET,Low,0.81,-1.9SDs
%RET,Low,2.0,+0.4SDs
%RET,Low,1.14,-1.2SDs
%RET,Low,0.54,-2.4SDs
%RET,Low,1.83,+0.1SDs
%RET,Low,1.68,-0.2SDs
%RET,Low,1.89,+0.2SDs
%RET,Low,2.62,+1.7SDs
%RET,Low,1.45,-0.6SDs
%RET,Low,1.66,-0.2SDs
%RET,Low,1.97,+0.4SDs
%RET,Low,1.42,-0.7SDs
%RET,Low,1.97,+0.4SDs
%RET,Low,2.35,+1.1SDs
%RET,Low,2.05,+0.5SDs
%RET,Low,2.22,+0.9SDs
%RET,Low,2.3,+1.0SDs
%RET,Low,1.9,+0.2SDs
%RET,Low,1.96,+0.4SDs
%RET,Low,1.63,-0.3SDs
%RET,Low,1.75,-0.1SDs
%RET,Low,1.51,-0.5SDs
%RET,Low,2.98,+2.4SDs
%RET,Low,2.32,+1.1SDs
%RET,Low,1.73,-0.1SDs
%RET,Low,1.47,-0.6SDs
%RET,Low,1.05,-1.4SDs
%RET,Low,2.34,+1.1SDs
%RET,Low,2.37,+1.2SDs
%RET,Low,1.26,-1.0SDs
%RET,Low,1.35,-0.8SDs
%RET,Low,2.34,+1.1SDs
%RET,Low,0.67,-2.2SDs
%RET,Low,1.87,+0.2SDs
%RET,Low,2.07,+0.6SDs
%RET,Low,1.29,-1.0SDs
%RET,Low,1.76,0.0SDs
%RET,Low,2.72,+1.9SDs
%RET,Low,2.52,+1.5SDs
%RET,Low,2.03,+0.5SDs
%RET,Low,2.17,+0.8SDs
%RET,Low,1.2,-1.1SDs
%RET,Low,2.31,+1.1SDs
%RET,Low,2.09,+0.6SDs
%RET,Low,2.1,+0.6SDs
%RET,Low,1.42,-0.7SDs
%RET,Low,2.25,+0.9SDs
%RET,Low,2.26,+0.9SDs
%RET,Low,0.98,-1.5SDs
%RET,Low,1.6,-0.4SDs
%RET,Low,2.45,+1.3SDs
%RET,Low,0.97,-1.6SDs
%RET,Low,1.48,-0.6SDs
%RET,Low,1.56,-0.4SDs
%RET,Low,1.47,-0.6SDs
%RET,Low,1.75,0.0SDs
%RET,Low,2.75,+1.9SDs
#EO,Low,0.04,+0.3SDs
#EO,Low,0.02,-1.6SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.03,-0.3SDs
#EO,Low,0.03,-0.8SDs
#EO,Low,0.04,-0.3SDs
#EO,Low,0.04,-0.3SDs
#EO,Low,0.04,0.0SDs
#EO,Low,0.04,+0.1SDs
#EO,Low,0.03,-0.3SDs
#EO,Low,0.03,-0.4SDs
#EO,Low,0.03,-0.3SDs
#EO,Low,0.05,+1.1SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.04,+0.7SDs
#EO,Low,0.04,-0.3SDs
#EO,Low,0.04,+0.7SDs
#EO,Low,0.03,-0.5SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.06,+2.4SDs
#EO,Low,0.06,+2.0SDs
#EO,Low,0.05,+0.8SDs
#EO,Low,0.05,+1.2SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.04,-0.2SDs
#EO,Low,0.03,-0.6SDs
#EO,Low,0.05,+1.7SDs
#EO,Low,0.04,+0.1SDs
#EO,Low,0.04,+0.4SDs
#EO,Low,0.03,-0.5SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.03,-0.7SDs
#EO,Low,0.03,-0.4SDs
#EO,Low,0.03,-1.0SDs
#EO,Low,0.04,-0.2SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.03,-1.0SDs
#EO,Low,0.04,+0.6SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.04,+0.6SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.02,-2.3SDs
#EO,Low,0.03,-0.4SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.04,0.0SDs
#EO,Low,0.03,-0.6SDs
#EO,Low,0.03,-1.1SDs
#EO,Low,0.04,0.0SDs
#EO,Low,0.05,+0.8SDs
#EO,Low,0.04,+0.4SDs
#EO,Low,0.04,+0.4SDs
#EO,Low,0.04,-0.1SDs
#EO,Low,0.03,-0.7SDs
#EO,Low,0.04,+0.2SDs
#EO,Low,0.04,-0.2SDs
#EO,Low,0.05,+1.7SDs
#EO,Low,0.02,-1.3SDs
RDW-SD,Low,11.72,-1.6SDs
RDW-SD,Low,12.2,-0.4SDs
RDW-SD,Low,12.44,+0.3SDs
RDW-SD,Low,12.29,-0.1SDs
RDW-SD,Low,13.01,+1.8SDs
RDW-SD,Low,12.47,+0.3SDs
RDW-SD,Low,12.43,+0.2SDs
RDW-SD,Low,12.13,-0.6SDs
RDW-SD,Low,12.53,+0.5SDs
RDW-SD,Low,11.66,-1.8SDs
RDW-SD,Low,11.92,-1.1SDs
RDW-SD,Low,12.41,+0.2SDs
RDW-SD,Low,13.12,+2.1SDs
RDW-SD,Low,12.58,+0.6SDs
RDW-SD,Low,11.88,-1.2SDs
RDW-SD,Low,12.03,-0.8SDs
RDW-SD,Low,12.67,+0.9SDs
RDW-SD,Low,12.31,-0.1SDs
RDW-SD,Low,12.87,+1.4SDs
RDW-SD,Low,12.1,-0.6SDs
RDW-SD,Low,12.34,0.0SDs
RDW-SD,Low,12.4,+0.2SDs
RDW-SD,Low,13.2,+2.3SDs
RDW-SD,Low,11.71,-1.7SDs
RDW-SD,Low,12.43,+0.2SDs
RDW-SD,Low,12.51,+0.4SDs
RDW-SD,Low,12.59,+0.6SDs
RDW-SD,Low,13.06,+1.9SDs
RDW-SD,Low,12.5,+0.4SDs
RDW-SD,Low,13.19,+2.2SDs
RDW-SD,Low,12.18,-0.4SDs
RDW-SD,Low,13.21,+2.3SDs
RDW-SD,Low,12.4,+0.2SDs
RDW-SD,Low,12.3,-0.1SDs
RDW-SD,Low,11.92,-1.1SDs
RDW-SD,Low,13.1,+2.0SDs
RDW-SD,Low,12.09,-0.7SDs
RDW-SD,Low,11.96,-1.0SDs
RDW-SD,Low,12.37,+0.1SDs
RDW-SD,Low,12.82,+1.3SDs
RDW-SD,Low,11.91,-1.1SDs
RDW-SD,Low,11.83,-1.3SDs
RDW-SD,Low,12.4,+0.2SDs
RDW-SD,Low,11.67,-1.8SDs
RDW-SD,Low,12.85,+1.4SDs
RDW-SD,Low,12.41,+0.2SDs
RDW-SD,Low,12.29,-0.1SDs
RDW-SD,Low,11.93,-1.1SDs
RDW-SD,Low,12.05,-0.8SDs
RDW-SD,Low,12.34,0.0SDs
RDW-SD,Low,12.55,+0.6SDs
RDW-SD,Low,12.24,-0.3SDs
RDW-SD,Low,12.53,+0.5SDs
RDW-SD,Low,12.17,-0.4SDs
RDW-SD,Low,12.29,-0.1SDs
RDW-SD,Low,12.72,+1.0SDs
RDW-SD,Low,12.36,+0.1SDs
RDW-SD,Low,12.73,+1.0SDs
RDW-SD,Low,11.74,-1.6SDs
#RET,Low,0.03,-0.2SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.02,-0.3SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.03,-0.2SDs
#RET,Low,0.01,-0.4SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.06,+0.2SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.06,+0.2SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.04,+0.1SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.07,+0.4SDs
#RET,Low,0.05,+0.2SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.02,-0.2SDs
#RET,Low,0.05,+0.2SDs
#RET,Low,0.05,+0.2SDs
#RET,Low,0.03,-0.2SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.05,+0.2SDs
#RET,Low,0.02,-0.3SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.06,+0.3SDs
#RET,Low,0.06,+0.2SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.03,-0.2SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.05,+0.1SDs
#RET,Low,0.05,+0.1SDs
